x1,x2,y
4.644970414,4.427480916,1
4.319526627,4.427480916,1
4.097633136,4.580152672,1
3.934911243,4.790076336,1
3.920118343,5.114503817,1
3.979289941,5.381679389,1
4.023668639,5.667938931,1
4.186390533,5.858778626,1
4.349112426,5.954198473,1
4.733727811,6.125954198,1
4.51183432,6.106870229,1
4.911242604,6.06870229,1
5.192307692,5.954198473,1
5.399408284,5.72519084,1
5.562130178,5.553435115,1
5.724852071,5.36259542,1
5.769230769,5.076335878,1
5.784023669,4.809160305,1
5.784023669,4.561068702,1
5.650887574,4.351145038,1
5.621301775,4.122137405,1
5.48816568,3.969465649,1
5.414201183,3.759541985,1
5.310650888,3.664122137,1
5.147928994,3.435114504,1
4.955621302,3.301526718,1
4.718934911,3.167938931,1
4.541420118,3.167938931,1
4.334319527,3.22519084,1
4.112426036,3.339694656,1
3.875739645,3.492366412,1
3.624260355,3.511450382,1
3.461538462,3.645038168,1
3.372781065,3.778625954,1
3.23964497,3.91221374,1
3.150887574,4.160305344,1
3.106508876,4.408396947,1
3.076923077,4.675572519,1
3.076923077,4.866412214,1
3.047337278,5.229007634,1
3.106508876,5.667938931,1
3.106508876,5.477099237,1
3.136094675,6.202290076,1
3.165680473,5.973282443,1
3.210059172,6.488549618,1
3.269230769,6.717557252,1
3.387573964,6.870229008,1
3.535502959,6.927480916,1
3.698224852,7.022900763,1
3.875739645,7.13740458,1
4.023668639,7.232824427,1
4.156804734,7.290076336,1
4.378698225,7.347328244,1
4.556213018,7.366412214,1
4.74852071,7.366412214,1
5.044378698,7.251908397,1
4.955621302,7.385496183,1
5.236686391,7.270992366,1
5.443786982,7.15648855,1
5.636094675,7.041984733,1
5.813609467,6.889312977,1
6.00591716,6.908396947,1
6.227810651,6.717557252,1
6.375739645,6.603053435,1
6.50887574,6.488549618,1
4.482248521,4.408396947,1
6.612426036,6.335877863,1
6.627218935,6.106870229,1
6.701183432,5.896946565,1
6.686390533,5.629770992,1
6.686390533,5.34351145,1
6.701183432,5.171755725,1
6.686390533,4.885496183,1
6.642011834,4.541984733,1
6.568047337,4.389312977,1
6.538461538,4.179389313,1
6.420118343,3.969465649,1
6.405325444,3.759541985,1
6.375739645,3.511450382,1
6.301775148,3.396946565,1
6.213017751,3.20610687,1
6.124260355,3.072519084,1
6.094674556,2.86259542,1
5.931952663,2.805343511,1
5.857988166,2.690839695,1
5.665680473,2.576335878,1
5.443786982,2.5,1
5.325443787,2.442748092,1
5.177514793,2.404580153,1
4.985207101,2.328244275,1
4.792899408,2.251908397,1
4.556213018,2.13740458,1
4.408284024,2.118320611,1
4.24556213,2.175572519,1
4.00887574,2.213740458,1
3.816568047,2.194656489,1
3.653846154,2.270992366,1
3.49112426,2.366412214,1
3.23964497,2.557251908,1
2.958579882,2.538167939,1
2.825443787,2.652671756,1
2.721893491,2.805343511,1
2.633136095,3.015267176,1
2.529585799,3.187022901,1
3.062130178,2.557251908,1
2.352071006,3.339694656,1
2.263313609,3.492366412,1
2.130177515,3.759541985,1
2.130177515,3.950381679,1
2.115384615,4.122137405,1
2.115384615,4.389312977,1
2.115384615,4.694656489,1
2.144970414,4.885496183,1
2.159763314,5.076335878,1
2.159763314,5.286259542,1
2.100591716,5.534351145,1
2.100591716,5.820610687,1
2.056213018,6.030534351,1
2.100591716,6.393129771,1
2.071005917,6.583969466,1
2.100591716,6.812977099,1
2.130177515,7.022900763,1
2.218934911,7.347328244,1
2.352071006,7.5,1
2.455621302,7.729007634,1
2.603550296,7.824427481,1
2.692307692,7.86259542,1
2.810650888,7.938931298,1
2.958579882,7.996183206,1
3.091715976,8.20610687,1
3.23964497,8.263358779,1
3.357988166,8.396946565,1
3.550295858,8.416030534,1
3.683431953,8.492366412,1
3.831360947,8.511450382,1
4.053254438,8.56870229,1
4.334319527,8.625954198,1
4.49704142,8.606870229,1
4.704142012,8.625954198,1
4.911242604,8.549618321,1
5.088757396,8.530534351,1
5.310650888,8.56870229,1
5.547337278,8.511450382,1
5.724852071,8.454198473,1
5.887573964,8.396946565,1
6.109467456,8.396946565,1
6.316568047,8.320610687,1
6.49408284,8.301526718,1
6.701183432,8.187022901,1
6.849112426,8.091603053,1
6.923076923,7.900763359,1
7.041420118,7.767175573,1
7.115384615,7.480916031,1
7.278106509,7.309160305,1
7.366863905,7.118320611,1
7.366863905,6.851145038,1
7.440828402,6.622137405,1
7.426035503,6.354961832,1
7.411242604,6.145038168,1
7.529585799,5.954198473,1
7.573964497,5.667938931,1
7.559171598,5.477099237,1
7.662721893,5.248091603,1
7.618343195,5.057251908,1
7.647928994,4.809160305,1
7.618343195,4.484732824,1
7.647928994,4.217557252,1
7.588757396,4.103053435,1
7.588757396,3.816793893,1
7.529585799,3.56870229,1
7.514792899,3.282442748,1
7.337278107,3.015267176,1
7.307692308,2.709923664,1
7.174556213,2.595419847,1
7.174556213,2.309160305,1
7.026627219,2.194656489,1
6.834319527,2.041984733,1
6.656804734,1.851145038,1
6.568047337,1.698473282,1
4.556213018,5.286259542,0
4.689349112,5.286259542,0
4.792899408,5.190839695,0
4.896449704,5.095419847,0
5.014792899,5.057251908,0
5.088757396,4.923664122,0
5.118343195,4.732824427,0
5.133136095,4.522900763,0
5.103550296,4.312977099,0
5.103550296,4.122137405,0
5.029585799,4.045801527,0
4.896449704,3.93129771,0
4.778106509,3.874045802,0
4.600591716,3.835877863,0
4.378698225,3.893129771,0
4.275147929,3.91221374,0
4.142011834,3.950381679,0
3.979289941,4.045801527,0
3.860946746,4.217557252,0
3.713017751,4.312977099,0
3.594674556,4.427480916,0
3.550295858,4.713740458,0
3.550295858,4.866412214,0
3.550295858,5.076335878,0
3.535502959,5.267175573,0
3.550295858,5.553435115,0
3.565088757,5.72519084,0
3.639053254,5.877862595,0
3.683431953,6.06870229,0
3.801775148,6.221374046,0
3.905325444,6.41221374,0
4.00887574,6.469465649,0
4.127218935,6.545801527,0
4.24556213,6.545801527,0
4.423076923,6.641221374,0
4.600591716,6.641221374,0
4.74852071,6.641221374,0
4.896449704,6.679389313,0
5.059171598,6.679389313,0
5.207100592,6.622137405,0
5.355029586,6.545801527,0
5.473372781,6.507633588,0
5.621301775,6.507633588,0
5.784023669,6.393129771,0
5.902366864,6.297709924,0
6.020710059,6.145038168,0
6.109467456,5.935114504,0
6.153846154,5.782442748,0
6.153846154,5.534351145,0
6.213017751,5.400763359,0
6.198224852,5.248091603,0
6.213017751,5.057251908,0
6.198224852,4.942748092,0
6.153846154,4.694656489,0
6.139053254,4.446564885,0
6.079881657,4.236641221,0
6.079881657,4.083969466,0
5.976331361,3.835877863,0
5.843195266,3.606870229,0
5.769230769,3.358778626,0
5.636094675,3.282442748,0
5.547337278,3.187022901,0
5.50295858,3.034351145,0
5.428994083,3.034351145,0
5.355029586,2.919847328,0
5.207100592,2.86259542,0
5.118343195,2.767175573,0
5,2.786259542,0
4.852071006,2.786259542,0
4.792899408,2.786259542,0
4.630177515,2.729007634,0
4.467455621,2.729007634,0
4.334319527,2.729007634,0
4.171597633,2.748091603,0
4.023668639,2.805343511,0
3.860946746,2.805343511,0
3.727810651,2.900763359,0
3.609467456,2.919847328,0
3.431952663,3.053435115,0
3.269230769,3.129770992,0
3.121301775,3.167938931,0
3.032544379,3.301526718,0
2.840236686,3.435114504,0
2.795857988,3.625954198,0
2.707100592,3.740458015,0
2.662721893,4.045801527,0
2.633136095,4.198473282,0
2.618343195,4.370229008,0
2.662721893,3.91221374,0
2.529585799,4.541984733,0
2.544378698,4.732824427,0
2.529585799,4.904580153,0
2.485207101,5.114503817,0
2.529585799,5.305343511,0
2.529585799,5.496183206,0
2.529585799,5.687022901,0
2.559171598,5.916030534,0
2.559171598,6.145038168,0
2.573964497,6.335877863,0
2.603550296,6.545801527,0
2.677514793,6.736641221,0
2.721893491,7.003816794,0
2.840236686,7.15648855,0
2.943786982,7.290076336,0
3.091715976,7.423664122,0
3.195266272,7.576335878,0
3.357988166,7.576335878,0
3.49112426,7.690839695,0
3.653846154,7.748091603,0
3.801775148,7.767175573,0
3.934911243,7.86259542,0
4.097633136,7.900763359,0
4.289940828,7.938931298,0
4.585798817,7.919847328,0
4.763313609,7.919847328,0
4.955621302,7.919847328,0
5.103550296,7.958015267,0
5.25147929,7.900763359,0
5.458579882,7.900763359,0
5.591715976,7.805343511,0
5.798816568,7.805343511,0
5.961538462,7.767175573,0
6.124260355,7.633587786,0
6.272189349,7.633587786,0
6.405325444,7.461832061,0
6.538461538,7.423664122,0
6.612426036,7.270992366,0
6.74556213,7.15648855,0
6.775147929,6.965648855,0
6.878698225,6.870229008,0
6.923076923,6.717557252,0
6.982248521,6.526717557,0
6.982248521,6.335877863,0
7.056213018,6.164122137,0
7.056213018,5.954198473,0
7.100591716,5.801526718,0
7.100591716,5.591603053,0
7.130177515,5.438931298,0
7.115384615,5.190839695,0
7.115384615,4.980916031,0
7.144970414,4.809160305,0
7.085798817,4.65648855,0
7.085798817,4.446564885,0
7.041420118,4.27480916,0
7.056213018,4.122137405,0
6.952662722,3.91221374,0
6.982248521,3.740458015,0
6.908284024,3.683206107,0
6.863905325,3.492366412,0
6.863905325,3.396946565,0
6.819526627,3.282442748,0
6.74556213,3.015267176,0
6.686390533,2.86259542,0
6.612426036,2.709923664,0
6.464497041,2.538167939,0
6.360946746,2.366412214,0
6.227810651,2.309160305,0
6.079881657,2.232824427,0
